initial acc is 0.827538013458252.
bit pos is 219, acc decrease is 0.0160067081451416.
bit pos is 220, acc decrease is 0.04264640808105469.
bit pos is 221, acc decrease is 0.04394054412841797.
bit pos is 222, acc decrease is -1.9788742065429688e-05.
bit pos is 223, acc decrease is -8.344650268554688e-06.
bit pos is 224, acc decrease is -2.6464462280273438e-05.
bit pos is 225, acc decrease is 2.5272369384765625e-05.
bit pos is 226, acc decrease is 1.4781951904296875e-05.
bit pos is 227, acc decrease is -8.821487426757812e-06.
bit pos is 228, acc decrease is 2.1219253540039062e-05.
bit pos is 229, acc decrease is -2.6941299438476562e-05.
bit pos is 230, acc decrease is -1.6689300537109375e-05.
bit pos is 231, acc decrease is -9.5367431640625e-06.
bit pos is 232, acc decrease is 4.1484832763671875e-05.
bit pos is 233, acc decrease is -3.695487976074219e-05.
bit pos is 234, acc decrease is -5.245208740234375e-06.
bit pos is 235, acc decrease is -3.4332275390625e-05.
bit pos is 236, acc decrease is -7.796287536621094e-05.
bit pos is 237, acc decrease is 1.5974044799804688e-05.
bit pos is 238, acc decrease is 2.6464462280273438e-05.
bit pos is 239, acc decrease is -1.6450881958007812e-05.
bit pos is 240, acc decrease is 1.33514404296875e-05.
bit pos is 241, acc decrease is -4.2438507080078125e-05.
bit pos is 242, acc decrease is -2.7179718017578125e-05.
bit pos is 243, acc decrease is -4.9114227294921875e-05.
bit pos is 244, acc decrease is 1.2159347534179688e-05.
bit pos is 245, acc decrease is -3.123283386230469e-05.
bit pos is 246, acc decrease is -1.5497207641601562e-05.
bit pos is 247, acc decrease is 6.4373016357421875e-06.
bit pos is 248, acc decrease is -2.1696090698242188e-05.
bit pos is 249, acc decrease is -3.910064697265625e-05.
bit pos is 250, acc decrease is -1.2636184692382812e-05.
bit pos is 251, acc decrease is -2.4318695068359375e-05.
bit pos is 252, acc decrease is -7.176399230957031e-05.
bit pos is 253, acc decrease is -2.4557113647460938e-05.
bit pos is 254, acc decrease is 4.5299530029296875e-06.
bit pos is 255, acc decrease is 1.5974044799804688e-05.
