test bst, diff pos is (47, 55).
initial acc is 0.5313246250152588.
bit pos is 166, acc decrease is 0.0012450218200683594.
bit pos is 167, acc decrease is 0.0009143352508544922.
bit pos is 168, acc decrease is 0.0006623268127441406.
bit pos is 169, acc decrease is -6.175041198730469e-05.
bit pos is 170, acc decrease is 2.9325485229492188e-05.
bit pos is 171, acc decrease is 5.9604644775390625e-05.
bit pos is 172, acc decrease is 3.886222839355469e-05.
bit pos is 173, acc decrease is 9.417533874511719e-05.
bit pos is 174, acc decrease is 2.8371810913085938e-05.
bit pos is 175, acc decrease is 1.5497207641601562e-05.
bit pos is 176, acc decrease is -0.00011730194091796875.
bit pos is 177, acc decrease is -8.344650268554688e-06.
bit pos is 178, acc decrease is -9.393692016601562e-05.
bit pos is 179, acc decrease is 5.245208740234375e-05.
bit pos is 180, acc decrease is -7.462501525878906e-05.
bit pos is 181, acc decrease is -2.384185791015625e-06.
bit pos is 182, acc decrease is -7.2479248046875e-05.
bit pos is 183, acc decrease is -0.00010013580322265625.
bit pos is 184, acc decrease is -8.034706115722656e-05.
bit pos is 185, acc decrease is -4.4345855712890625e-05.
bit pos is 186, acc decrease is -3.719329833984375e-05.
bit pos is 187, acc decrease is -9.059906005859375e-06.
bit pos is 188, acc decrease is -2.384185791015625e-05.
bit pos is 189, acc decrease is 1.049041748046875e-05.
bit pos is 190, acc decrease is 1.9073486328125e-06.
bit pos is 191, acc decrease is 2.1457672119140625e-05.
